Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"Ability.java",5,0,5,0,1,,,,,2,1,1,30,,30,29,20,,,,30,,0,2,0,28,,246,43,188,78,80,15,,100,135,73,63,,3,,1,,,0,08,33
File,"AbilityBot.java",3,0,3,0,1,,,,,1,0,0,10,,10,10,0,,,,10,,0,0,8,2,,62,12,45,24,10,5,,21,32,22,10,,1,,0,,,0,11,10
File,"AbilityBotI18nTest.java",7,1,6,0,1,,,,,2,0,2,6,,6,6,5,,,,6,,5,0,0,1,,83,19,64,38,22,0,,41,49,33,20,,1,,0,,,0,00,6
File,"AbilityBotTest.java",11,2,9,0,1,,,,,1,0,6,60,,60,51,5,,,,51,,43,8,0,0,,780,166,598,336,369,16,,425,479,288,337,,3,,1,,,0,03,64
File,"AbilityExtension.java",0,0,0,0,0,,,,,1,0,0,0,,0,0,0,,,,0,,0,0,0,0,,7,1,3,2,0,3,,1,2,2,0,,0,,0,,,1,00,0
File,"AbilityMessageCodes.java",0,0,0,0,0,,,,,1,0,19,0,,0,0,0,,,,0,,0,0,0,0,,31,9,22,21,19,0,,20,21,21,0,,0,,0,,,0,00,0
File,"AbilityTest.java",3,0,3,0,1,,,,,1,0,0,18,,18,10,0,,,,10,,10,0,0,0,,73,14,59,36,19,0,,26,37,25,18,,1,,0,,,0,00,18
File,"AbilityToggle.java",0,0,0,0,0,,,,,1,0,0,0,,2,2,0,,,,2,,2,0,0,0,,21,3,6,5,0,12,,4,5,5,0,,0,,0,,,2,00,0
File,"AbilityUtils.java",13,0,9,4,4,,,,,1,17,1,20,,20,1,0,,,,18,,0,2,0,16,,309,27,198,44,133,84,,94,164,44,125,,15,,2,,,0,42,73
File,"AbilityWebhookBot.java",3,0,3,0,1,,,,,1,0,0,11,,11,11,1,,,,11,,0,0,8,3,,75,15,55,30,13,5,,27,39,26,13,,1,,0,,,0,09,11
