number,title,state,created_at,updated_at,closed_at,body,labels,assignees,milestone,comments
1167,Pass token in constructor,closed,2022-12-31 10:21:28,2023-04-19 07:06:13,2023-01-04 11:27:29,Currently in the backwards compatible version. The constructors without botToken should be removed in the future,[],[],,1
1165, How to create Ability with ReplyFlow as action?,open,2022-12-26 03:35:07,2022-12-26 03:35:07,,"Hello! Could you please update wiki for AbilityBot with example how to create Ability with ReplyFlow as action? I've tried several options - no luck. Thanks a lot!
",[],[],,0
1164,The conflict in wiki for getting started,open,2022-12-14 15:21:30,2022-12-14 15:23:01,,"The wiki page for the ""Getting Started"" page looks distorted with a conflict(See the screenshot below):
===========================================================================================
![image](https://user-images.githubusercontent.com/91181094/207635166-2257b0ea-058f-406d-af1c-c9e5e39d80c7.png)
===========================================================================================
But the wiki in the source code looks normal(Screenshot for reference):
===========================================================================================
![image](https://user-images.githubusercontent.com/91181094/207635764-3d1c3dab-07bc-4ba1-9e7a-231466796d3e.png)
===========================================================================================
Looks like a change in the project wiki settings is needed",[],[],,0
1163,"[BUG] #editMediaMessage does not work properly with ""file_id"" specified",open,2022-12-14 00:59:28,2022-12-26 06:51:15,,"**Describe the bug**
Every time when I try to send an editMessageMedia I get ""Error editing message text: [400] Bad Request: MEDIA_EMPTY)""

**To Reproduce**
Steps to reproduce the behavior:

This error occures when I try to change photo in a photoMessage already sent by a bot previously:

```            
InputMediaPhoto inputMediaPhoto = new InputMediaPhoto();
inputMediaPhoto.setMedia(""AgACAgIAAxkBAAIlaWOZGQvBn2uHvqfTwVYHGD-ezlU5AAJgxzEbSojJSMNUFLrahKyaAQADAgADeAADLAQ"");

EditMessageMedia editMessageMedia = new EditMessageMedia();
editMessageMedia.setMedia(inputMediaPhoto);
editMessageMedia.setReplyMarkup(null);
editMessageMedia.setMessageId(messageId);
editMessageMedia.setChatId(chatId);

try {
    telegramLongPollingBot.execute(editMessageMedia);
} catch (TelegramApiException e) {
    log.warn(""Error while editing media of a message! (bot-username: "" +
        telegramLongPollingBot.getBotUsername() + "", reason: "" + e.getMessage() + "")"") ;
}
```

**Expected behavior**
Changes message's media (in my case - photo) to the one specified in _inputMediaPhoto_. 
Note: _file_id_ is 100% correct.

",[],[],,2
1162,Thread-safety of TelegramLongPollingBot,closed,2022-12-05 09:37:54,2022-12-05 11:23:44,2022-12-05 11:23:44,"I have searched the open and closed issues and the wiki but couldn't find any information on thread-safety.
My question/concern is whether an instance of `TelegramLongPollingBot` can be used by several threads concurrently?
What about other ""bot types""? E.g., the one for webhooks.",[],[],,2
1161,Can't Override onUpdateReceived and getBotUsername,closed,2022-12-01 13:29:54,2022-12-12 12:47:41,2022-12-12 12:47:06,"**Describe the bug**
When i try to Override `onUpdateReceived` and `getBotUsername` methods the `The method onUpdateReceived(Update) of type TelegramBot must override a superclass method` appears. With `getBotToken` method Override works fine. Also, there's a red mark on the pom.xml file.
UPD: I have fixed error with pom.xml file, but the main issue is still there :(

**To Reproduce**
I don't know how to reproduce this error. 
All i did was creating new maven project in eclipse and adding dependency.


**Screenshots**
![изображение](https://user-images.githubusercontent.com/94926682/205064741-eb87828f-3ba1-4617-843f-a219bbd29b6f.png)
![изображение](https://user-images.githubusercontent.com/94926682/205064853-9a6e9687-bd6f-4017-bd47-142f59473c9b.png)


**Desktop (please complete the following information):**
 - OS: Windows 10
 - Browser Firefox
 - Version 107.0.1




",[],[],,1
1160,[Bug] Message not getting displayed,closed,2022-11-30 01:07:41,2022-12-31 00:58:13,2022-12-31 00:58:13,"**Describe the bug**
When I try to fetch a user's message via `public void onUpdateReceived(Update update) {` I only get isolated messages, i.e. every 5 or 10 first.

**To Reproduce**
Use the following code:
```
@Override
    public void onUpdateReceived(Update update) {
        System.out.println(""message rwecieved"");
    }
```

We using debian server with java on it
",[],[],,3
1159,Fixing wrong JsonProperty name for StickerSet,closed,2022-11-29 18:33:02,2022-12-31 00:49:44,2022-12-31 00:49:44,"Got the error:

`org.telegram.telegrambots.meta.exceptions.TelegramApiRequestException: Unable to deserialize response
	at org.telegram.telegrambots.meta.api.methods.PartialBotApiMethod.deserializeResponseInternal(PartialBotApiMethod.java:56)
	at org.telegram.telegrambots.meta.api.methods.PartialBotApiMethod.deserializeResponse(PartialBotApiMethod.java:33)
	at org.telegram.telegrambots.meta.api.methods.stickers.GetStickerSet.deserializeResponse(GetStickerSet.java:45)
	at org.telegram.telegrambots.meta.api.methods.stickers.GetStickerSet.deserializeResponse(GetStickerSet.java:22)
	at org.telegram.telegrambots.bots.DefaultAbsSender.sendApiMethod(DefaultAbsSender.java:1072)
	at org.telegram.telegrambots.meta.bots.AbsSender.execute(AbsSender.java:64)
	at dev.storozhenko.familybot.common.extensions.SenderExtensionsKt$sendStickerInternal$stickerId$1$1.invokeSuspend(SenderExtensions.kt:200)
	at kotlin.coroutines.jvm.internal.BaseContinuationImpl.resumeWith(ContinuationImpl.kt:33)
	at kotlinx.coroutines.DispatchedTask.run(DispatchedTask.kt:106)
	at kotlinx.coroutines.scheduling.CoroutineScheduler.runSafely(CoroutineScheduler.kt:570)
	at kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.executeTask(CoroutineScheduler.kt:750)
	at kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.runWorker(CoroutineScheduler.kt:677)
	at kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.run(CoroutineScheduler.kt:664)
Caused by: com.fasterxml.jackson.databind.exc.InvalidDefinitionException: Conflicting getter definitions for property ""stickers"": org.telegram.telegrambots.meta.api.objects.stickers.StickerSet#getStickerType() vs org.telegram.telegrambots.meta.api.objects.stickers.StickerSet#getStickers()
 at [Source: (String)""{""ok"":true,""result"":{""name"":""youaretoday"",""title"":""\u041a\u0430\u043a\u043e\u0439 \u0442\u044b \u0441\u0435\u0433\u043e\u0434\u043d\u044f?"",""is_animated"":false,""is_video"":false,""sticker_type"":""regular"",""contains_masks"":false,""stickers"":[{""width"":512,""height"":478,""emoji"":""\ud83d\ude0d"",""set_name"":""youaretoday"",""is_animated"":false,""is_video"":false,""type"":""regular"",""thumb"":{""file_id"":""AAMCAgADFQABY4ZN2ONe9fu25D1UiK0tkjYQ7QIAAgcAA2kzKBNxEASAsWjDmwEAB20AAysE"",""file_unique_id"":""AQADBwADaTMoE3I"",""file_""[truncated 7539 chars]; line: 1, column: 1]
	at com.fasterxml.jackson.databind.exc.InvalidDefinitionException.from(InvalidDefinitionException.java:62)
	at com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.buildBeanDeserializer(BeanDeserializerFactory.java:269)
	at com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.createBeanDeserializer(BeanDeserializerFactory.java:151)
	at com.fasterxml.jackson.databind.deser.DeserializerCache._createDeserializer2(DeserializerCache.java:415)
	at com.fasterxml.jackson.databind.deser.DeserializerCache._createDeserializer(DeserializerCache.java:350)
	at com.fasterxml.jackson.databind.deser.DeserializerCache._createAndCache2(DeserializerCache.java:264)
	at com.fasterxml.jackson.databind.deser.DeserializerCache._createAndCacheValueDeserializer(DeserializerCache.java:244)
	at com.fasterxml.jackson.databind.deser.DeserializerCache.findValueDeserializer(DeserializerCache.java:142)
	at com.fasterxml.jackson.databind.DeserializationContext.findNonContextualValueDeserializer(DeserializationContext.java:638)
	at com.fasterxml.jackson.databind.deser.BeanDeserializerBase.resolve(BeanDeserializerBase.java:539)
	at com.fasterxml.jackson.databind.deser.DeserializerCache._createAndCache2(DeserializerCache.java:294)
	at com.fasterxml.jackson.databind.deser.DeserializerCache._createAndCacheValueDeserializer(DeserializerCache.java:244)
	at com.fasterxml.jackson.databind.deser.DeserializerCache.findValueDeserializer(DeserializerCache.java:142)
	at com.fasterxml.jackson.databind.DeserializationContext.findRootValueDeserializer(DeserializationContext.java:648)
	at com.fasterxml.jackson.databind.ObjectMapper._findRootDeserializer(ObjectMapper.java:4861)
	at com.fasterxml.jackson.databind.ObjectMapper._readMapAndClose(ObjectMapper.java:4731)
	at com.fasterxml.jackson.databind.ObjectMapper.readValue(ObjectMapper.java:3677)
	at org.telegram.telegrambots.meta.api.methods.PartialBotApiMethod.deserializeResponseInternal(PartialBotApiMethod.java:49)
	... 12 common frames omitted
Caused by: java.lang.IllegalArgumentException: Conflicting getter definitions for property ""stickers"": org.telegram.telegrambots.meta.api.objects.stickers.StickerSet#getStickerType() vs org.telegram.telegrambots.meta.api.objects.stickers.StickerSet#getStickers()
	at com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder.getGetter(POJOPropertyBuilder.java:449)
	at com.fasterxml.jackson.databind.introspect.BeanPropertyDefinition.getAccessor(BeanPropertyDefinition.java:188)
	at com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder._getSetterInfo(POJOPropertyBuilder.java:265)
	at com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder.getMetadata(POJOPropertyBuilder.java:242)
	at com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._anyIndexed(POJOPropertiesCollector.java:1240)
	at com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector._sortProperties(POJOPropertiesCollector.java:1142)
	at com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector.collectAll(POJOPropertiesCollector.java:470)
	at com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector.getPropertyMap(POJOPropertiesCollector.java:386)
	at com.fasterxml.jackson.databind.introspect.POJOPropertiesCollector.getProperties(POJOPropertiesCollector.java:233)
	at com.fasterxml.jackson.databind.introspect.BasicBeanDescription._properties(BasicBeanDescription.java:164)
	at com.fasterxml.jackson.databind.introspect.BasicBeanDescription.findProperties(BasicBeanDescription.java:239)
	at com.fasterxml.jackson.databind.deser.BasicDeserializerFactory._findCreatorsFromProperties(BasicDeserializerFactory.java:328)
	at com.fasterxml.jackson.databind.deser.BasicDeserializerFactory._constructDefaultValueInstantiator(BasicDeserializerFactory.java:272)
	at com.fasterxml.jackson.databind.deser.BasicDeserializerFactory.findValueInstantiator(BasicDeserializerFactory.java:223)
	at com.fasterxml.jackson.databind.deser.BeanDeserializerFactory.buildBeanDeserializer(BeanDeserializerFactory.java:262)
	... 28 common frames omitted`

After the inspection I have found a bug, so here is a fix",[],[],,0
1158,[Improvement] externalising telegram client,open,2022-11-29 12:27:22,2022-12-29 23:49:27,,"This Issue is used to track the ongoing process of making a separate telegram client module, not a feature request

## Goal
The goal is to have a specific module that encapsulates all the communication with the telegram api

## Out of Scope
The module will not contain any logic for implementing bots. It will not implement any long polling or other logics. Only validation and parsing of the api object from the meta package

## Design decisions
- The module will be implement async first. All methods and core functionality will be implemented using the Future-API of java
- The module will contain blocking wrapper components that allow calling the API in a blocking way
- The module will use OkHttp3 as the underlying http client

## Requirements

- [x] request all basic methods using http get requests
- [x] allow file upload using multipart requests
- [x] configuration of base-url, timeouts and connections-pool size using a http-client independent interface
- [x] Offer a generic interface that allows for custom implementations of clients to use with other telegram modules
- [ ] Configuration of proxys using a http-client independent interface

## Future Plans
- Implement a http facade to simplify implementing custom http-clients
- Offer facade implementations for the most common http clients",['enhancement'],[],,0
1157,123,closed,2022-11-29 09:51:24,2022-12-31 00:50:07,2022-12-31 00:50:07,,[],[],,0
